sim_time, big_dog?world_pose/orientation/pitch
207.162, 0.00849966
207.163, 0.00824747
207.164, 0.00799891
207.165, 0.00775229
207.166, 0.00750715
207.167, 0.00726312
207.168, 0.00701995
207.169, 0.00677747
207.17, 0.00653507
207.171, 0.00629267
207.172, 0.00605019
207.173, 0.00580756
207.174, 0.00556451
207.175, 0.0053208
207.176, 0.00507647
207.177, 0.0048315
207.178, 0.00458592
207.179, 0.00433726
207.18, 0.00409541
207.181, 0.003859
207.182, 0.00362786
207.183, 0.00340186
207.184, 0.00318025
207.185, 0.00296303
207.186, 0.00275021
207.187, 0.00254176
207.188, 0.0023375
207.189, 0.00213707
207.19, 0.00194053
207.191, 0.00174784
207.192, 0.00155895
207.193, 0.00137392
207.194, 0.0011926
207.195, 0.00101505
207.196, 0.000841219
207.197, 0.000671148
207.198, 0.000507077
207.199, 0.000348886
207.2, 0.00019651
207.201, 4.9571e-05
207.202, -9.19285e-05
207.203, -0.000228152
207.204, -0.000359091
207.205, -0.000484743
207.206, -0.000603087
207.207, -0.000715679
207.208, -0.000822713
207.209, -0.000924846
207.21, -0.00102214
207.211, -0.00111467
207.212, -0.00120255
207.213, -0.00128585
207.214, -0.00136473
207.215, -0.00143922
207.216, -0.00150936
207.217, -0.0015753
207.218, -0.00163706
207.219, -0.0016947
207.22, -0.00174824
207.221, -0.0017977
207.222, -0.0018431
207.223, -0.00188446
207.224, -0.00192644
207.225, -0.00196781
207.226, -0.00200863
207.227, -0.00204875
207.228, -0.0020881
207.229, -0.00212663
207.23, -0.00216434
207.231, -0.00220118
207.232, -0.00223721
207.233, -0.00227237
207.234, -0.0023058
207.235, -0.00233688
207.236, -0.0023659
207.237, -0.0023931
207.238, -0.00241869
207.239, -0.00244286
207.24, -0.00246574
207.241, -0.00248747
207.242, -0.00250816
207.243, -0.00252789
207.244, -0.00254675
207.245, -0.0025648
207.246, -0.0025821
207.247, -0.00259899
207.248, -0.00261542
207.249, -0.00263129
207.25, -0.00264651
207.251, -0.00266123
207.252, -0.00267545
207.253, -0.00268917
207.254, -0.00270242
207.255, -0.00271518
207.256, -0.00272747
207.257, -0.00273898
207.258, -0.00275004
207.259, -0.00276067
207.26, -0.00277089
207.261, -0.00278139
207.262, -0.00279363
207.263, -0.00280749
207.264, -0.00282286
207.265, -0.00283969
207.266, -0.00285795
207.267, -0.00287679
207.268, -0.00289696
207.269, -0.00291846
207.27, -0.00294131
207.271, -0.00296551
207.272, -0.00298911
207.273, -0.00301256
207.274, -0.00303622
207.275, -0.00306038
207.276, -0.00308528
207.277, -0.00311108
207.278, -0.00313795
207.279, -0.00316599
207.28, -0.0031953
207.281, -0.00322594
207.282, -0.00325794
207.283, -0.00329135
207.284, -0.00332621
207.285, -0.00336252
207.286, -0.00340029
207.287, -0.00343951
207.288, -0.00348019
207.289, -0.00352234
207.29, -0.00356594
207.291, -0.00361101
207.292, -0.00365754
207.293, -0.00370552
207.294, -0.00375495
207.295, -0.00380582
207.296, -0.00385813
207.297, -0.00391187
207.298, -0.00396703
207.299, -0.00402359
207.3, -0.00408144
207.301, -0.00414051
207.302, -0.00420076
207.303, -0.00426219
207.304, -0.00432663
207.305, -0.00439417
207.306, -0.00446406
207.307, -0.00453613
207.308, -0.00461025
207.309, -0.00468631
207.31, -0.0047642
207.311, -0.00484384
207.312, -0.00492515
207.313, -0.00500808
207.314, -0.00509256
207.315, -0.00517854
207.316, -0.00526599
207.317, -0.00535486
207.318, -0.00544509
207.319, -0.00553638
207.32, -0.00562895
207.321, -0.00572278
207.322, -0.00581785
207.323, -0.00591414
207.324, -0.00601164
207.325, -0.00611032
207.326, -0.00621018
207.327, -0.00631119
207.328, -0.00641334
207.329, -0.0065166
207.33, -0.00662096
207.331, -0.00672639
207.332, -0.00683289
207.333, -0.00694043
207.334, -0.00704934
207.335, -0.00715958
207.336, -0.00727112
207.337, -0.00738393
207.338, -0.00749799
207.339, -0.00761327
207.34, -0.00772974
207.341, -0.00784738
207.342, -0.00796617
207.343, -0.00808251
207.344, -0.00819693
207.345, -0.00830895
207.346, -0.00841873
207.347, -0.00852636
207.348, -0.00863192
207.349, -0.00873546
207.35, -0.00883703
207.351, -0.00893668
207.352, -0.00903446
207.353, -0.0091304
207.354, -0.00922454
207.355, -0.00931692
207.356, -0.00940717
207.357, -0.00949515
207.358, -0.0095817
207.359, -0.00966683
207.36, -0.00975057
207.361, -0.00983296
207.362, -0.00991399
207.363, -0.00999369
207.364, -0.0100721
207.365, -0.0101493
207.366, -0.0102251
207.367, -0.0102998
207.368, -0.0103732
207.369, -0.0104455
207.37, -0.0105165
207.371, -0.0105864
207.372, -0.0106552
207.373, -0.0107228
207.374, -0.0107892
207.375, -0.0108518
207.376, -0.0109108
207.377, -0.0109665
207.378, -0.0110191
207.379, -0.0110686
207.38, -0.0111152
207.381, -0.0111591
207.382, -0.0112002
207.383, -0.0112387
207.384, -0.0112747
207.385, -0.0113082
207.386, -0.0113396
207.387, -0.0113688
207.388, -0.0113961
207.389, -0.0114205
207.39, -0.011442
207.391, -0.0114612
207.392, -0.011478
207.393, -0.0114933
207.394, -0.0115077
207.395, -0.0115203
207.396, -0.0115315
207.397, -0.0115418
207.398, -0.0115515
207.399, -0.0115602
207.4, -0.0115683
207.401, -0.0115759
207.402, -0.0115831
207.403, -0.01159
207.404, -0.0115966
207.405, -0.0116029
207.406, -0.0116089
207.407, -0.0116146
207.408, -0.0116202
207.409, -0.0116267
207.41, -0.011634
207.411, -0.0116415
207.412, -0.0116486
207.413, -0.0116553
207.414, -0.01165
207.415, -0.0116341
207.416, -0.0116084
207.417, -0.011579
207.418, -0.0115391
207.419, -0.0114823
207.42, -0.0114113
207.421, -0.0113298
207.422, -0.0112389
207.423, -0.011139
207.424, -0.0110304
207.425, -0.0109135
207.426, -0.0107885
207.427, -0.0106556
207.428, -0.010515
207.429, -0.0103668
207.43, -0.0102113
207.431, -0.0100487
207.432, -0.00988255
207.433, -0.00971299
207.434, -0.00953983
207.435, -0.00936295
207.436, -0.0091788
207.437, -0.0089875
207.438, -0.00878896
207.439, -0.0085833
207.44, -0.00837065
207.441, -0.00815127
207.442, -0.00792502
207.443, -0.0076922
207.444, -0.00745297
207.445, -0.00720747
207.446, -0.00695583
207.447, -0.00669817
207.448, -0.0064428
207.449, -0.00618915
207.45, -0.005937
207.451, -0.00568625
207.452, -0.00543683
207.453, -0.00518868
207.454, -0.00494143
207.455, -0.00469508
207.456, -0.00444961
207.457, -0.00420503
207.458, -0.00396082
207.459, -0.00371713
207.46, -0.00347382
207.461, -0.00323098
207.462, -0.00298952
207.463, -0.00275302
207.464, -0.0025212
207.465, -0.00229171
207.466, -0.002064
207.467, -0.00183754
207.468, -0.00161223
207.469, -0.00138792
207.47, -0.00116437
207.471, -0.00094127
207.472, -0.000718611
207.473, -0.000496341
207.474, -0.000274427
207.475, -5.28431e-05
207.476, 0.000168433
207.477, 0.000389418
207.478, 0.00061013
207.479, 0.00083058
207.48, 0.00105078
207.481, 0.00127074
207.482, 0.00149119
207.483, 0.00171201
207.484, 0.00193308
207.485, 0.00215433
207.486, 0.00237569
207.487, 0.00259794
207.488, 0.0028211
207.489, 0.00304514
207.49, 0.00327004
207.491, 0.00349578
207.492, 0.00372236
207.493, 0.00394104
207.494, 0.00415254
207.495, 0.00435742
207.496, 0.00455584
207.497, 0.00474794
207.498, 0.00493384
207.499, 0.00511366
207.5, 0.00528762
207.501, 0.00545578
207.502, 0.00561869
207.503, 0.00577636
207.504, 0.00592879
207.505, 0.00607653
207.506, 0.00621949
207.507, 0.00635763
207.508, 0.0064909
207.509, 0.00661936
207.51, 0.00674298
207.511, 0.00686056
207.512, 0.00697336
207.513, 0.00708148
207.514, 0.00718481
207.515, 0.00728336
207.516, 0.00737748
207.517, 0.00746659
207.518, 0.00755114
207.519, 0.00763128
207.52, 0.00770714
207.521, 0.00777883
207.522, 0.00784646
207.523, 0.00791012
207.524, 0.00797039
207.525, 0.00802719
207.526, 0.00808106
207.527, 0.00813196
207.528, 0.00817988
207.529, 0.00822483
207.53, 0.00826716
207.531, 0.0083068
207.532, 0.00834372
