sim_time, big_dog?world_angular_velocity/y
207.655, 0.0280317
207.656, 0.0266241
207.657, 0.0254063
207.658, 0.0243514
207.659, 0.0234364
207.66, 0.021957
207.661, 0.0206796
207.662, 0.0195754
207.663, 0.0186203
207.664, 0.0177938
207.665, 0.0170784
207.666, 0.0164592
207.667, 0.0159233
207.668, 0.0154597
207.669, 0.0150591
207.67, 0.0147133
207.671, 0.017469
207.672, 0.013158
207.673, 0.00803844
207.674, 0.00279533
207.675, -0.00229138
207.676, -0.0193641
207.677, -0.0349276
207.678, -0.0507075
207.679, -0.069483
207.68, -0.0834369
207.681, -0.0946588
207.682, -0.104708
207.683, -0.114208
207.684, -0.123356
207.685, -0.132154
207.686, -0.140651
207.687, -0.148883
207.688, -0.156873
207.689, -0.164646
207.69, -0.172218
207.691, -0.179607
207.692, -0.186828
207.693, -0.193893
207.694, -0.198171
207.695, -0.202736
207.696, -0.208045
207.697, -0.213459
207.698, -0.218959
207.699, -0.224527
207.7, -0.230147
207.701, -0.231893
207.702, -0.234344
207.703, -0.237526
207.704, -0.241194
207.705, -0.245334
207.706, -0.249804
207.707, -0.254545
207.708, -0.259511
207.709, -0.264659
207.71, -0.269955
207.711, -0.275368
207.712, -0.280874
207.713, -0.286451
207.714, -0.279999
207.715, -0.274408
207.716, -0.269722
207.717, -0.268522
207.718, -0.267065
207.719, -0.265392
207.72, -0.263895
207.721, -0.26224
207.722, -0.26041
207.723, -0.258439
207.724, -0.256355
207.725, -0.254183
207.726, -0.251942
207.727, -0.249649
207.728, -0.247587
207.729, -0.245447
207.73, -0.243247
207.731, -0.241003
207.732, -0.238726
207.733, -0.236427
207.734, -0.236811
207.735, -0.233587
207.736, -0.225769
207.737, -0.218764
207.738, -0.212175
207.739, -0.205849
207.74, -0.199771
207.741, -0.193868
207.742, -0.188115
207.743, -0.182491
207.744, -0.17698
207.745, -0.17157
207.746, -0.166415
207.747, -0.161304
207.748, -0.156237
207.749, -0.151216
207.75, -0.146144
207.751, -0.14099
207.752, -0.136168
207.753, -0.131389
207.754, -0.126165
207.755, -0.121602
207.756, -0.117087
207.757, -0.112626
207.758, -0.10822
207.759, -0.103872
207.76, -0.099582
207.761, -0.0953506
207.762, -0.0911774
207.763, -0.0870619
207.764, -0.0819132
207.765, -0.0777457
207.766, -0.0735867
207.767, -0.0694815
207.768, -0.0654455
207.769, -0.0614803
207.77, -0.0577139
207.771, -0.0539582
207.772, -0.0502254
207.773, -0.0465252
207.774, -0.0428645
207.775, -0.0392475
207.776, -0.0356421
207.777, -0.0322162
207.778, -0.0289363
207.779, -0.0257742
207.78, -0.0226968
207.781, -0.0196918
207.782, -0.0167499
207.783, -0.0138633
207.784, -0.0110229
207.785, -0.0082196
207.786, -0.00544839
207.787, -0.00270736
207.788, 2.60987e-06
207.789, 0.00268089
207.79, 0.00532736
207.791, 0.00794222
207.792, 0.0105259
207.793, 0.0130788
207.794, 0.0156017
207.795, 0.018095
207.796, 0.0205595
207.797, 0.0229959
207.798, 0.0254047
207.799, 0.027666
207.8, 0.0299237
207.801, 0.0321689
207.802, 0.0343986
207.803, 0.0376106
207.804, 0.0399074
207.805, 0.0421379
207.806, 0.0443129
207.807, 0.0400645
207.808, 0.0364095
207.809, 0.0332456
207.81, 0.0299756
207.811, 0.0267553
207.812, 0.0235745
207.813, 0.0204377
207.814, 0.0173325
207.815, 0.0142577
207.816, 0.0112128
207.817, 0.00814216
207.818, 0.00500561
207.819, 0.00183611
207.82, -0.00134952
207.821, -0.00450412
207.822, -0.00762329
207.823, -0.0106978
207.824, -0.0137292
207.825, -0.0167154
207.826, -0.0196553
207.827, -0.0225487
207.828, -0.0253959
207.829, -0.0281974
207.83, -0.0309542
207.831, -0.0336673
207.832, -0.0363379
207.833, -0.0389673
207.834, -0.0415566
207.835, -0.0440777
207.836, -0.0465628
207.837, -0.0490131
207.838, -0.0514304
207.839, -0.0546832
207.84, -0.0571866
207.841, -0.0595798
207.842, -0.0618897
207.843, -0.0641356
207.844, -0.0663313
207.845, -0.068487
207.846, -0.0706104
207.847, -0.0727069
207.848, -0.075024
207.849, -0.079127
207.85, -0.0806411
207.851, -0.0821739
207.852, -0.0837102
207.853, -0.0852484
207.854, -0.0867879
207.855, -0.0883281
207.856, -0.0898686
207.857, -0.0912644
207.858, -0.0926854
207.859, -0.0941262
207.86, -0.0955824
