sim_time, big_dog?world_pose/orientation/roll
209.169, 0.0174418
209.17, 0.0175054
209.171, 0.0175617
209.172, 0.0176107
209.173, 0.0176524
209.174, 0.0176852
209.175, 0.0177106
209.176, 0.0177349
209.177, 0.017757
209.178, 0.0177768
209.179, 0.0177949
209.18, 0.0178105
209.181, 0.017824
209.182, 0.0178351
209.183, 0.0178444
209.184, 0.0178518
209.185, 0.0178573
209.186, 0.0178612
209.187, 0.0178634
209.188, 0.0178544
209.189, 0.0178445
209.19, 0.017833
209.191, 0.0178197
209.192, 0.017805
209.193, 0.0177888
209.194, 0.0177709
209.195, 0.017751
209.196, 0.0177288
209.197, 0.0177098
209.198, 0.0176849
209.199, 0.0176485
209.2, 0.0176063
209.201, 0.0175613
209.202, 0.0175149
209.203, 0.0174674
209.204, 0.0174189
209.205, 0.0173691
209.206, 0.0173188
209.207, 0.0172678
209.208, 0.017218
209.209, 0.0171695
209.21, 0.0171221
209.211, 0.0170757
209.212, 0.0170304
209.213, 0.0169859
209.214, 0.0169423
209.215, 0.0168995
209.216, 0.0168568
209.217, 0.0168144
209.218, 0.0167721
209.219, 0.0167301
209.22, 0.0166907
209.221, 0.0166535
209.222, 0.0166185
209.223, 0.0165854
209.224, 0.0165542
209.225, 0.0165249
209.226, 0.0164992
209.227, 0.016477
209.228, 0.0164583
209.229, 0.016443
209.23, 0.0164311
209.231, 0.0164223
209.232, 0.0164168
209.233, 0.0164142
209.234, 0.0164144
209.235, 0.0164174
209.236, 0.0164232
209.237, 0.0164319
209.238, 0.0164433
209.239, 0.0164575
209.24, 0.0164744
209.241, 0.016494
209.242, 0.0165164
209.243, 0.0165415
209.244, 0.0165688
209.245, 0.0165985
209.246, 0.0166307
209.247, 0.0166655
209.248, 0.0167026
209.249, 0.0167423
209.25, 0.0167843
209.251, 0.0168288
209.252, 0.0168756
209.253, 0.0169248
209.254, 0.0169762
209.255, 0.0170292
209.256, 0.017084
209.257, 0.0171406
209.258, 0.0171989
209.259, 0.0172589
209.26, 0.0173208
209.261, 0.0173844
209.262, 0.0174497
209.263, 0.0175168
209.264, 0.0175857
209.265, 0.0176566
209.266, 0.0177294
209.267, 0.017804
209.268, 0.0178806
209.269, 0.0179589
209.27, 0.0180395
209.271, 0.018121
209.272, 0.0182033
209.273, 0.0182865
